Wavelength,Intensity
345.4841795,1417.194375
345.6923712,1462.249688
345.9005525,1454.057813
346.1087234,1523.68875
346.316884,1441.77
346.5250342,1458.15375
346.733174,1497.065156
346.9413034,1417.194375
347.1494224,1488.873281
347.357531,1486.825313
347.5656292,1447.913906
347.773717,1421.290313
347.9817945,1400.810625
348.1898615,1447.913906
348.3979181,1421.290313
348.6059643,1480.681406
348.8140001,1466.345625
349.0220255,1423.338281
349.2300405,1486.825313
349.4380451,1431.530156
349.6460392,1560.552188
349.8540229,1427.434219
350.0619962,1521.640781
350.2699591,1429.482188
350.4779115,1396.714688
350.6858535,1474.5375
350.893785,1441.77
351.1017062,1417.194375
351.3096168,1492.969219
351.5175171,1435.626094
351.7254068,1517.544844
351.9332862,1464.297656
352.1411551,1435.626094
352.3490135,1456.105781
352.5568615,1456.105781
352.764699,1452.009844
352.972526,1482.729375
353.1803426,1466.345625
353.3881487,1437.674063
353.5959444,1376.235
353.8037295,1505.257031
354.0115042,1421.290313
354.2192684,1456.105781
354.4270222,1495.017188
354.6347654,1456.105781
354.8424982,1445.865938
355.0502205,1449.961875
355.2579323,1437.674063
355.4656336,1527.784688
355.6733244,1499.113125
355.8810047,1554.408281
356.0886745,1462.249688
356.2963337,1488.873281
356.5039825,1458.15375
356.7116208,1406.954531
356.9192486,1396.714688
357.1268658,1406.954531
357.3344725,1431.530156
357.5420687,1394.666719
357.7496544,1445.865938
357.9572296,1501.161094
358.1647942,1499.113125
358.3723483,1464.297656
358.5798919,1409.0025
358.7874249,1464.297656
358.9949474,1466.345625
359.2024594,1470.441563
359.4099608,1470.441563
359.6174516,1374.187031
359.824932,1361.899219
360.0324017,1484.777344
360.2398609,1435.626094
360.4473096,1443.817969
360.6547477,1486.825313
360.8621752,1386.474844
361.0695922,1433.578125
361.2769986,1466.345625
361.4843944,1452.009844
361.6917796,1460.201719
361.8991543,1447.913906
362.1065184,1529.832656
362.313872,1556.45625
362.5212149,1484.777344
362.7285472,1388.522813
362.935869,1394.666719
363.1431802,1445.865938
363.3504808,1409.0025
363.5577708,1404.906563
363.7650501,1460.201719
363.9723189,1529.832656
364.1795771,1372.139063
364.3868247,1445.865938
364.5940616,1488.873281
364.801288,1462.249688
365.0085037,1472.489531
365.2157089,1507.305
365.4229034,1468.393594
365.6300872,1445.865938
365.8372605,1423.338281
366.0444231,1413.098438
366.2515751,1363.947188
366.4587165,1421.290313
366.6658472,1474.5375
366.8729673,1482.729375
367.0800768,1419.242344
367.2871756,1456.105781
367.4942637,1490.92125
367.7013413,1406.954531
367.9084081,1419.242344
368.1154643,1460.201719
368.3225099,1441.77
368.5295448,1454.057813
368.736569,1406.954531
368.9435826,1427.434219
369.1505855,1413.098438
369.3575777,1462.249688
369.5645593,1449.961875
369.7715302,1447.913906
369.9784904,1452.009844
370.1854399,1447.913906
370.3923788,1421.290313
370.5993069,1423.338281
370.8062244,1415.146406
371.0131312,1538.024531
371.2200273,1527.784688
371.4269127,1466.345625
371.6337874,1466.345625
371.8406514,1470.441563
372.0475047,1521.640781
372.2543473,1519.592813
372.4611792,1394.666719
372.6680003,1447.913906
372.8748108,1396.714688
373.0816105,1411.050469
373.2883995,1454.057813
373.4951778,1523.68875
373.7019454,1472.489531
373.9087023,1515.496875
374.1154484,1421.290313
374.3221838,1439.722031
374.5289084,1480.681406
374.7356223,1409.0025
374.9423255,1466.345625
375.1490179,1396.714688
375.3556996,1429.482188
375.5623706,1423.338281
375.7690308,1355.755313
375.9756802,1466.345625
376.1823189,1429.482188
376.3889468,1439.722031
376.595564,1454.057813
376.8021704,1542.120469
377.008766,1398.762656
377.2153508,1492.969219
377.4219249,1445.865938
377.6284883,1472.489531
377.8350408,1437.674063
378.0415826,1435.626094
378.2481135,1443.817969
378.4546337,1363.947188
378.6611431,1386.474844
378.8676418,1435.626094
379.0741296,1460.201719
379.2806066,1413.098438
379.4870729,1415.146406
379.6935283,1480.681406
379.8999729,1439.722031
380.1064068,1419.242344
380.3128298,1423.338281
380.519242,1404.906563
380.7256434,1546.216406
380.932034,1476.585469
381.1384137,1441.77
